49.0105	63.5083
48.755	64.165
48.8298	64.3558
48.7728	64.3328
48.6666	64.1903
48.6434	64.1472
48.6173	64.1027
48.5913	64.1794
48.5499	64.2024
48.4921	64.141
48.4689	64.19
48.4563	64.2556
48.3944	64.2638
48.3786	64.4551
48.3032	64.653
48.2389	64.7165
48.1818	64.7855
48.1559	64.9083
48.0678	64.9927
47.9693	65.3149
47.9538	65.5221
48.0263	65.6448
48.0056	65.7062
47.9538	65.6448
47.8915	65.6371
47.762	65.5374
47.7516	65.499
47.8293	65.2228
47.8915	64.9083
48.0367	64.6167
48.13	64.4249
48.1559	64.141
48.0471	64.0643
47.819	64.2945
47.5857	64.4326
47.4613	64.54
47.2488	64.5323
47.1918	64.4249
46.9792	64.4172
47.0673	64.164
47.1244	64.1487
47.1762	64.1717
47.2177	64.072
47.3576	64.1333
47.4613	64.0413
47.4043	63.9952
47.2799	63.9952
47.2488	63.9415
46.9067	63.7727
46.7719	63.627
46.5231	63.1359
46.5023	62.9058
46.5334	62.6909
46.549	62.0848
46.4868	61.7779
46.3727	61.8393
46.3365	61.9774
46.3365	62.0848
46.2846	62.1846
46.212	62.1999
46.1965	62.1232
46.0825	62.2383
46.0669	62.2076
46.1395	61.9544
46.0928	61.9314
45.9477	62.338
45.9218	62.315
45.9373	62.2229
45.8699	61.9927
45.9114	61.8776
45.844	61.6858
46.0151	61.6475
46.2069	61.425
46.3624	61.2945
46.4609	61.1718
46.6682	61.026
46.7926	60.9339
46.9326	60.7268
47.057	60.627
47.0362	60.4352
47.3512	60.2687
47.482	60.3355
47.5961	60.4122
47.6687	60.4122
47.8708	60.5964
48.0419	60.9186
47.8553	61.1488
47.7568	61.0567
47.6583	61.049
47.5598	60.9723
47.4043	61.2562
47.2747	61.3559
47.2384	61.3176
47.0673	61.4633
46.9948	61.6014
47.0207	61.7012
47.0414	61.8393
47.0829	61.962
47.1192	62.1232
47.2021	62.1615
47.2954	62.292
47.5028	62.1232
47.6168	62.0618
47.7879	61.6552
47.8553	61.517
47.8604	61.2178
47.8555	61.1491
48.0421	60.918
48.1455	61.0413
48.244	61.3713
48.2648	61.5784
48.3788	61.9774
48.4203	62.1692
48.4307	62.3994
48.498	62.737
48.6017	62.9211
48.7002	63.0132
48.8816	63.1283
48.9179	63.1743
48.9335	63.3124
48.9179	63.3584
49.0105	63.5083
